PROJECT	TIMEPOINT	proj_min_commit_fraction	proj_max_commit_fraction
AES	2020010100	1.0	1.0
AES	2020010101	1.0	1.0
AES	2020010102	1.0	1.0
AES	2020010103	1.0	1.0
AES	2020010104	1.0	1.0
AES	2020010105	1.0	1.0
AES	2020010106	1.0	1.0
AES	2020010107	1.0	1.0
AES	2020010108	1.0	1.0
AES	2020010109	1.0	1.0
AES	2020010110	1.0	1.0
AES	2020010111	1.0	1.0
AES	2020010112	1.0	1.0
AES	2020010113	1.0	1.0
AES	2020010114	1.0	1.0
AES	2020010115	1.0	1.0
AES	2020010116	1.0	1.0
AES	2020010117	1.0	1.0
AES	2020010118	1.0	1.0
AES	2020010119	1.0	1.0
AES	2020010120	1.0	1.0
AES	2020010121	1.0	1.0
AES	2020010122	1.0	1.0
AES	2020010123	1.0	1.0
AES	2020010200	1.0	1.0
AES	2020010201	1.0	1.0
AES	2020010202	1.0	1.0
AES	2020010203	1.0	1.0
AES	2020010204	1.0	1.0
AES	2020010205	1.0	1.0
AES	2020010206	1.0	1.0
AES	2020010207	1.0	1.0
AES	2020010208	1.0	1.0
AES	2020010209	1.0	1.0
AES	2020010210	1.0	1.0
AES	2020010211	1.0	1.0
AES	2020010212	1.0	1.0
AES	2020010213	1.0	1.0
AES	2020010214	1.0	1.0
AES	2020010215	1.0	1.0
AES	2020010216	1.0	1.0
AES	2020010217	1.0	1.0
AES	2020010218	1.0	1.0
AES	2020010219	1.0	1.0
AES	2020010220	1.0	1.0
AES	2020010221	1.0	1.0
AES	2020010222	1.0	1.0
AES	2020010223	1.0	1.0
AES	2020010300	1.0	1.0
AES	2020010301	1.0	1.0
AES	2020010302	1.0	1.0
AES	2020010303	1.0	1.0
AES	2020010304	1.0	1.0
AES	2020010305	1.0	1.0
AES	2020010306	1.0	1.0
AES	2020010307	1.0	1.0
AES	2020010308	1.0	1.0
AES	2020010309	1.0	1.0
AES	2020010310	1.0	1.0
AES	2020010311	1.0	1.0
AES	2020010312	1.0	1.0
AES	2020010313	1.0	1.0
AES	2020010314	1.0	1.0
AES	2020010315	1.0	1.0
AES	2020010316	1.0	1.0
AES	2020010317	1.0	1.0
AES	2020010318	1.0	1.0
AES	2020010319	1.0	1.0
AES	2020010320	1.0	1.0
AES	2020010321	1.0	1.0
AES	2020010322	1.0	1.0
AES	2020010323	1.0	1.0
AES	2020010400	1.0	1.0
AES	2020010401	1.0	1.0
AES	2020010402	1.0	1.0
AES	2020010403	1.0	1.0
AES	2020010404	1.0	1.0
AES	2020010405	1.0	1.0
AES	2020010406	1.0	1.0
AES	2020010407	1.0	1.0
AES	2020010408	1.0	1.0
AES	2020010409	1.0	1.0
AES	2020010410	1.0	1.0
AES	2020010411	1.0	1.0
AES	2020010412	1.0	1.0
AES	2020010413	1.0	1.0
AES	2020010414	1.0	1.0
AES	2020010415	1.0	1.0
AES	2020010416	1.0	1.0
AES	2020010417	1.0	1.0
AES	2020010418	1.0	1.0
AES	2020010419	1.0	1.0
AES	2020010420	1.0	1.0
AES	2020010421	1.0	1.0
