LOAD_ZONE	TIMEPOINT	renewable_forecast_mw	contingency_reserve_requirement_mw	regulating_reserve_requirement_mw
Oahu	2020010100	43.2	180.0	17.99
Oahu	2020010101	46.2	180.0	17.99
Oahu	2020010102	35.1	180.0	17.99
Oahu	2020010103	38.4	180.0	17.99
Oahu	2020010104	43.9	180.0	17.99
Oahu	2020010105	60.4	180.0	17.99
Oahu	2020010106	53.7	180.0	37.9960188121
Oahu	2020010107	45.3	180.0	31.6979495516
Oahu	2020010108	58.8039403077	180.0	38.6892331653
Oahu	2020010109	81.5564838462	180.0	38.6892331653
Oahu	2020010110	100.38626	180.0	38.6892331653
Oahu	2020010111	116.149766154	180.0	38.6892331653
Oahu	2020010112	140.832711538	180.0	38.6892331653
Oahu	2020010113	126.210710769	180.0	38.6892331653
Oahu	2020010114	98.8487946154	180.0	38.6892331653
Oahu	2020010115	66.5615953846	180.0	38.6892331653
Oahu	2020010116	53.2031507692	180.0	37.7764945826
Oahu	2020010117	22.6491338462	180.0	18.15815732
Oahu	2020010118	1.36948148462	180.0	1.50157178574
Oahu	2020010119	3.0	180.0	3.22760261738
Oahu	2020010120	9.69	180.0	10.0136292876
Oahu	2020010121	13.4	180.0	12.6327673821
Oahu	2020010122	14.87	180.0	13.7629941697
Oahu	2020010123	26.3	180.0	20.0532007374
Oahu	2020010200	45.5	180.0	17.99
Oahu	2020010201	44.1	180.0	17.99
Oahu	2020010202	55.5	180.0	17.99
Oahu	2020010203	50.5	180.0	17.99
Oahu	2020010204	47.8	180.0	17.99
Oahu	2020010205	33.7	180.0	17.99
Oahu	2020010206	47.5	180.0	33.529804136
Oahu	2020010207	48.0	180.0	33.756942364
Oahu	2020010208	66.7917215385	180.0	38.6892331653
Oahu	2020010209	116.604513846	180.0	38.6892331653
Oahu	2020010210	133.150816923	180.0	38.6892331653
Oahu	2020010211	153.426087692	180.0	38.6892331653
Oahu	2020010212	147.055448462	180.0	38.6892331653
Oahu	2020010213	151.85007	180.0	38.6892331653
Oahu	2020010214	145.581904615	180.0	38.6892331653
Oahu	2020010215	121.522715385	180.0	38.6892331653
Oahu	2020010216	85.00764	180.0	38.6892331653
Oahu	2020010217	37.0179976923	180.0	25.3176324773
Oahu	2020010218	20.8115555	180.0	17.1571550605
Oahu	2020010219	22.3	180.0	17.9955107425
Oahu	2020010220	25.5	180.0	17.9236807646
Oahu	2020010221	21.9	180.0	17.19
Oahu	2020010222	22.9	180.0	17.19
Oahu	2020010223	38.4	180.0	26.2824818952
Oahu	2020010300	44.6	180.0	17.99
Oahu	2020010301	52.5	180.0	17.99
Oahu	2020010302	55.6	180.0	17.99
Oahu	2020010303	54.0	180.0	17.99
Oahu	2020010304	60.6	180.0	17.99
Oahu	2020010305	52.1	180.0	17.99
Oahu	2020010306	58.4	180.0	38.6892331653
Oahu	2020010307	50.0	180.0	35.3355479855
Oahu	2020010308	66.02221	180.0	38.6892331653
Oahu	2020010309	117.909768462	180.0	38.6892331653
Oahu	2020010310	166.14516	180.0	38.6892331653
Oahu	2020010311	190.338110769	180.0	38.6892331653
Oahu	2020010312	192.53027	180.0	38.6892331653
Oahu	2020010313	196.094609231	180.0	38.6892331653
Oahu	2020010314	191.545213077	180.0	38.6892331653
Oahu	2020010315	173.726383846	180.0	38.6892331653
Oahu	2020010316	140.397886154	180.0	38.6892331653
Oahu	2020010317	86.9553107692	180.0	38.6892331653
Oahu	2020010318	67.7933438692	180.0	38.6892331653
