generation_technology	power_start_mw	power_end_mw	incremental_heat_rate_mbtu_per_mwhr	fuel_use_rate_mmbtu_per_h
AES	63.0	.	.	1222.16362712
AES	63.0	71.3571428571	15.6563220339	.
AES	71.3571428571	79.7142857143	15.7415932203	.
AES	79.7142857143	88.0714285714	15.8268644068	.
AES	88.0714285714	96.4285714286	15.9121355932	.
AES	96.4285714286	104.785714286	15.9974067797	.
AES	104.785714286	113.142857143	16.0826779661	.
AES	113.142857143	121.5	16.1679491525	.
AES	121.5	129.857142857	16.253220339	.
AES	129.857142857	138.214285714	16.3384915254	.
AES	138.214285714	146.571428571	16.4237627119	.
AES	146.571428571	154.928571429	16.5090338983	.
AES	154.928571429	163.285714286	16.5943050847	.
AES	163.285714286	171.642857143	16.6795762712	.
AES	171.642857143	180.0	16.7648474576	.
K3	17.7	.	.	215.16466
K3	17.7	22.5857142857	8.322	.
K3	22.5857142857	27.4714285714	8.4588	.
K3	27.4714285714	32.3571428571	8.5956	.
K3	32.3571428571	37.2428571429	8.7324	.
K3	37.2428571429	42.1285714286	8.8692	.
K3	42.1285714286	47.0142857143	9.006	.
K3	47.0142857143	51.9	9.1428	.
K3	51.9	56.7857142857	9.2796	.
K3	56.7857142857	61.6714285714	9.4164	.
K3	61.6714285714	66.5571428571	9.5532	.
K3	66.5571428571	71.4428571429	9.69	.
K3	71.4428571429	76.3285714286	9.8268	.
K3	76.3285714286	81.2142857143	9.9636	.
K3	81.2142857143	86.1	10.1004	.
K4	17.7	.	.	225.20763
K4	17.7	22.5285714286	8.7896	.
K4	22.5285714286	27.3571428571	8.8572	.
K4	27.3571428571	32.1857142857	8.9248	.
K4	32.1857142857	37.0142857143	8.9924	.
K4	37.0142857143	41.8428571429	9.06	.
K4	41.8428571429	46.6714285714	9.1276	.
K4	46.6714285714	51.5	9.1952	.
K4	51.5	56.3285714286	9.2628	.
K4	56.3285714286	61.1571428571	9.3304	.
K4	61.1571428571	65.9857142857	9.398	.
K4	65.9857142857	70.8142857143	9.4656	.
K4	70.8142857143	75.6428571429	9.5332	.
K4	75.6428571429	80.4714285714	9.6008	.
K4	80.4714285714	85.3	9.6684	.
K5	25.0	.	.	306.341
K5	25.0	32.8071428571	8.78942142857	.
K5	32.8071428571	40.6142857143	8.83626428571	.
K5	40.6142857143	48.4214285714	8.88310714286	.
K5	48.4214285714	56.2285714286	8.92995	.
K5	56.2285714286	64.0357142857	8.97679285714	.
K5	64.0357142857	71.8428571429	9.02363571429	.
K5	71.8428571429	79.65	9.07047857143	.
K5	79.65	87.4571428571	9.11732142857	.
K5	87.4571428571	95.2642857143	9.16416428571	.
K5	95.2642857143	103.071428571	9.21100714286	.
K5	103.071428571	110.878571429	9.25785	.
K5	110.878571429	118.685714286	9.30469285714	.
K5	118.685714286	126.492857143	9.35153571429	.
K5	126.492857143	134.3	9.39837857143	.
K6	50.0	.	.	544.496
K6	50.0	56.0285714286	9.00422857143	.
K6	56.0285714286	62.0571428571	9.10068571429	.
K6	62.0571428571	68.0857142857	9.19714285714	.
K6	68.0857142857	74.1142857143	9.2936	.
K6	74.1142857143	80.1428571429	9.39005714286	.
K6	80.1428571429	86.1714285714	9.48651428571	.
K6	86.1714285714	92.2	9.58297142857	.
K6	92.2	98.2285714286	9.67942857143	.
K6	98.2285714286	104.257142857	9.77588571429	.
K6	104.257142857	110.285714286	9.87234285714	.
K6	110.285714286	116.314285714	9.9688	.
K6	116.314285714	122.342857143	10.0652571429	.
K6	122.342857143	128.371428571	10.1617142857	.
K6	128.371428571	134.4	10.2581714286	.
Kal1	75.0	.	.	683.262876184
Kal1	75.0	76.0714285714	5.829925206	.
Kal1	76.0714285714	77.1428571429	5.84991577649	.
Kal1	77.1428571429	78.2142857143	5.86990634698	.
Kal1	78.2142857143	79.2857142857	5.88989691747	.
Kal1	79.2857142857	80.3571428571	5.90988748796	.
Kal1	80.3571428571	81.4285714286	5.92987805845	.
Kal1	81.4285714286	82.5	5.94986862894	.
Kal1	82.5	83.5714285714	5.96985919943	.
Kal1	83.5714285714	84.6428571429	5.98984976992	.
Kal1	84.6428571429	85.7142857143	6.00984034041	.
Kal1	85.7142857143	86.7857142857	6.0298309109	.
Kal1	86.7857142857	87.8571428571	6.04982148139	.
Kal1	87.8571428571	88.9285714286	6.06981205188	.
Kal1	88.9285714286	90.0	6.08980262237	.
Kal2	75.0	.	.	683.262876184
Kal2	75.0	76.0714285714	5.829925206	.
Kal2	76.0714285714	77.1428571429	5.84991577649	.
Kal2	77.1428571429	78.2142857143	5.86990634698	.
Kal2	78.2142857143	79.2857142857	5.88989691747	.
Kal2	79.2857142857	80.3571428571	5.90988748796	.
Kal2	80.3571428571	81.4285714286	5.92987805845	.
Kal2	81.4285714286	82.5	5.94986862894	.
Kal2	82.5	83.5714285714	5.96985919943	.
Kal2	83.5714285714	84.6428571429	5.98984976992	.
Kal2	84.6428571429	85.7142857143	6.00984034041	.
Kal2	85.7142857143	86.7857142857	6.0298309109	.
Kal2	86.7857142857	87.8571428571	6.04982148139	.
Kal2	87.8571428571	88.9285714286	6.06981205188	.
Kal2	88.9285714286	90.0	6.08980262237	.
Kal3	0.0	.	.	0.1
Kal3	0.0	2.0	8.651	.
Kal3	2.0	4.0	8.651	.
Kal3	4.0	6.0	8.651	.
Kal3	6.0	8.0	8.651	.
Kal3	8.0	10.0	8.651	.
Kal3	10.0	12.0	8.651	.
Kal3	12.0	14.0	8.651	.
Kal3	14.0	16.0	8.651	.
Kal3	16.0	18.0	8.651	.
Kal3	18.0	20.0	8.651	.
Kal3	20.0	22.0	8.651	.
Kal3	22.0	24.0	8.651	.
Kal3	24.0	26.0	8.651	.
Kal3	26.0	28.0	8.651	.
W7	18.1	.	.	247.51822
W7	18.1	22.7285714286	8.31622857143	.
W7	22.7285714286	27.3571428571	8.51988571429	.
W7	27.3571428571	31.9857142857	8.72354285714	.
W7	31.9857142857	36.6142857143	8.9272	.
W7	36.6142857143	41.2428571429	9.13085714286	.
W7	41.2428571429	45.8714285714	9.33451428571	.
W7	45.8714285714	50.5	9.53817142857	.
W7	50.5	55.1285714286	9.74182857143	.
W7	55.1285714286	59.7571428571	9.94548571429	.
W7	59.7571428571	64.3857142857	10.1491428571	.
W7	64.3857142857	69.0142857143	10.3528	.
W7	69.0142857143	73.6428571429	10.5564571429	.
W7	73.6428571429	78.2714285714	10.7601142857	.
W7	78.2714285714	82.9	10.9637714286	.
W8	18.1	.	.	223.947
W8	18.1	22.9571428571	9.07957142857	.
W8	22.9571428571	27.8142857143	9.17671428571	.
W8	27.8142857143	32.6714285714	9.27385714286	.
W8	32.6714285714	37.5285714286	9.371	.
W8	37.5285714286	42.3857142857	9.46814285714	.
W8	42.3857142857	47.2428571429	9.56528571429	.
W8	47.2428571429	52.1	9.66242857143	.
W8	52.1	56.9571428571	9.75957142857	.
W8	56.9571428571	61.8142857143	9.85671428571	.
W8	61.8142857143	66.6714285714	9.95385714286	.
W8	66.6714285714	71.5285714286	10.051	.
W8	71.5285714286	76.3857142857	10.1481428571	.
W8	76.3857142857	81.2428571429	10.2452857143	.
W8	81.2428571429	86.1	10.3424285714	.
W5	22.5	.	.	273.7415
W5	22.5	24.7857142857	10.2045714286	.
W5	24.7857142857	27.0714285714	10.3417142857	.
W5	27.0714285714	29.3571428571	10.4788571429	.
W5	29.3571428571	31.6428571429	10.616	.
W5	31.6428571429	33.9285714286	10.7531428571	.
W5	33.9285714286	36.2142857143	10.8902857143	.
W5	36.2142857143	38.5	11.0274285714	.
W5	38.5	40.7857142857	11.1645714286	.
W5	40.7857142857	43.0714285714	11.3017142857	.
W5	43.0714285714	45.3571428571	11.4388571429	.
W5	45.3571428571	47.6428571429	11.576	.
W5	47.6428571429	49.9285714286	11.7131428571	.
W5	49.9285714286	52.2142857143	11.8502857143	.
W5	52.2142857143	54.5	11.9874285714	.
W6	22.5	.	.	276.1535
W6	22.5	24.7142857143	10.2238571429	.
W6	24.7142857143	26.9285714286	10.3655714286	.
W6	26.9285714286	29.1428571429	10.5072857143	.
W6	29.1428571429	31.3571428571	10.649	.
W6	31.3571428571	33.5714285714	10.7907142857	.
W6	33.5714285714	35.7857142857	10.9324285714	.
W6	35.7857142857	38.0	11.0741428571	.
W6	38.0	40.2142857143	11.2158571429	.
W6	40.2142857143	42.4285714286	11.3575714286	.
W6	42.4285714286	44.6428571429	11.4992857143	.
W6	44.6428571429	46.8571428571	11.641	.
W6	46.8571428571	49.0714285714	11.7827142857	.
W6	49.0714285714	51.2857142857	11.9244285714	.
W6	51.2857142857	53.5	12.0661428571	.
W9	0.0	.	.	0.0
W9	0.0	3.77857142857	12.913	.
W9	3.77857142857	7.55714285714	12.913	.
W9	7.55714285714	11.3357142857	12.913	.
W9	11.3357142857	15.1142857143	12.913	.
W9	15.1142857143	18.8928571429	12.913	.
W9	18.8928571429	22.6714285714	12.913	.
W9	22.6714285714	26.45	12.913	.
W9	26.45	30.2285714286	12.913	.
W9	30.2285714286	34.0071428571	12.913	.
W9	34.0071428571	37.7857142857	12.913	.
W9	37.7857142857	41.5642857143	12.913	.
W9	41.5642857143	45.3428571429	12.913	.
W9	45.3428571429	49.1214285714	12.913	.
W9	49.1214285714	52.9	12.913	.
W10	0.0	.	.	0.0
W10	0.0	3.56428571429	12.307	.
W10	3.56428571429	7.12857142857	12.307	.
W10	7.12857142857	10.6928571429	12.307	.
W10	10.6928571429	14.2571428571	12.307	.
W10	14.2571428571	17.8214285714	12.307	.
W10	17.8214285714	21.3857142857	12.307	.
W10	21.3857142857	24.95	12.307	.
W10	24.95	28.5142857143	12.307	.
W10	28.5142857143	32.0785714286	12.307	.
W10	32.0785714286	35.6428571429	12.307	.
W10	35.6428571429	39.2071428571	12.307	.
W10	39.2071428571	42.7714285714	12.307	.
W10	42.7714285714	46.3357142857	12.307	.
W10	46.3357142857	49.9	12.307	.
CIP-CT1	0.0	.	.	0.0
CIP-CT1	0.0	8.07142857143	11.688	.
CIP-CT1	8.07142857143	16.1428571429	11.688	.
CIP-CT1	16.1428571429	24.2142857143	11.688	.
CIP-CT1	24.2142857143	32.2857142857	11.688	.
CIP-CT1	32.2857142857	40.3571428571	11.688	.
CIP-CT1	40.3571428571	48.4285714286	11.688	.
