timepoint	regulating_reserve_requirement_mw
2020062200	43.72
2020062201	43.72
2020062202	43.72
2020062203	43.72
2020062204	43.72
2020062205	43.72
2020062206	92.3747849711
2020062207	100.060421874
2020062208	107.557188463
2020062209	107.557188463
2020062210	107.557188463
2020062211	107.557188463
2020062212	107.557188463
2020062213	107.557188463
2020062214	107.557188463
2020062215	107.557188463
2020062216	107.557188463
2020062217	107.557188463
2020062218	107.557188463
2020062219	92.6965407967
2020062220	43.72
2020062221	43.72
2020062222	43.72
2020062223	99.7669122728
2020062300	43.72
2020062301	43.72
2020062302	43.72
2020062303	43.72
2020062304	43.72
2020062305	43.72
2020062306	84.2712680394
2020062307	100.644080753
2020062308	107.557188463
2020062309	107.557188463
2020062310	107.557188463
2020062311	107.557188463
2020062312	107.557188463
2020062313	107.557188463
2020062314	107.557188463
2020062315	107.557188463
2020062316	107.557188463
2020062317	107.557188463
2020062318	107.557188463
2020062319	92.3747849711
2020062320	43.72
2020062321	43.72
2020062322	43.72
2020062323	81.7640507121
2020062400	43.72
2020062401	43.72
2020062402	43.72
2020062403	43.72
2020062404	43.72
2020062405	43.72
2020062406	86.3674760719
2020062407	107.557188463
2020062408	107.557188463
2020062409	107.557188463
2020062410	107.557188463
2020062411	107.557188463
2020062412	107.557188463
2020062413	107.557188463
2020062414	107.557188463
2020062415	107.557188463
2020062416	107.557188463
2020062417	107.557188463
2020062418	107.557188463
2020062419	85.6740833215
2020062420	43.72
2020062421	43.72
2020062422	43.72
2020062423	97.0741414361
2020062500	43.72
2020062501	43.72
2020062502	43.72
2020062503	43.72
2020062504	43.72
2020062505	43.72
2020062506	87.0555798691
2020062507	98.8796111501
2020062508	107.557188463
2020062509	107.557188463
2020062510	107.557188463
2020062511	107.557188463
2020062512	107.557188463
2020062513	107.557188463
2020062514	107.557188463
2020062515	107.557188463
2020062516	107.557188463
2020062517	107.557188463
2020062518	100.934238586
2020062519	73.8263523144
2020062520	43.72
2020062521	43.72
2020062522	43.72
2020062523	89.7559077699
2020062600	43.72
2020062601	43.72
2020062602	40.8
2020062603	33.4106926449
2020062604	29.4338323975
2020062605	27.9100984245
2020062606	35.7244261376
2020062607	87.3976610293
2020062608	107.557188463
2020062609	107.557188463
2020062610	107.557188463
2020062611	107.557188463
2020062612	107.557188463
2020062613	107.557188463
2020062614	107.557188463
2020062615	107.557188463
2020062616	107.557188463
2020062617	107.557188463
2020062618	107.557188463
2020062619	43.7217766842
2020062620	43.72
2020062621	43.72
2020062622	43.72
2020062623	59.988993807
2020062700	43.72
2020062701	43.72
2020062702	32.2260762616
2020062703	24.8814340585
2020062704	29.911741119
2020062705	43.72
2020062706	49.2571737393
2020062707	56.3628737518
2020062708	107.557188463
2020062709	107.557188463
2020062710	107.557188463
2020062711	107.557188463
2020062712	107.557188463
2020062713	107.557188463
2020062714	107.557188463
2020062715	107.557188463
2020062716	107.557188463
2020062717	100.644080753
2020062718	70.6305932285
2020062719	14.5922527067
2020062720	12.3957230411
2020062721	13.3330283707
2020062722	13.8835422525
2020062723	31.1485335896
2020062800	14.9585196106
2020062801	20.8793712666
2020062802	19.6961939078
2020062803	15.4832577463
2020062804	15.6563148146
2020062805	14.4253265234
2020062806	27.2923046733
2020062807	74.9997521463
2020062808	107.557188463
2020062809	107.557188463
2020062810	107.557188463
2020062811	107.557188463
2020062812	107.557188463
2020062813	107.557188463
2020062814	107.557188463
2020062815	107.557188463
2020062816	107.557188463
2020062817	107.557188463
2020062818	107.557188463
2020062819	53.5694635579
2020062820	43.72
2020062821	43.72
2020062822	43.72
2020062823	59.988993807
