PROJECT	build_year	proj_overnight_cost	proj_fixed_om
AES	2010	0.0	0.0
Kahe_3	2010	0.0	0.0
Kahe_4	2010	0.0	0.0
Kahe_5	2010	0.0	0.0
Kahe_6	2010	0.0	0.0
Kalaeloa_CC1	2010	0.0	0.0
Kalaeloa_CC2	2010	0.0	0.0
Kalaeloa_CC3	2010	0.0	0.0
Waiau_7	2010	0.0	0.0
Waiau_8	2010	0.0	0.0
Waiau_5	2010	0.0	0.0
Waiau_6	2010	0.0	0.0
Waiau_9	2010	0.0	0.0
Waiau_10	2010	0.0	0.0
CIP_CT	2010	0.0	0.0
Airport_DSG	2010	0.0	0.0
Schofield	2010	3685503.6855	0.0
H-Power	2010	0.0	0.0
Honua	2010	0.0	0.0
Oahu_Wind	2010	2500000.0	0.0
Oahu_Gen-Tie_Wind	2010	2500000.0	0.0
Oahu_Central_PV	2010	3000000.0	0.0
Oahu_Distributed_PV	2010	0.0	0.0
