generation_technology	g_dbid	g_max_age	g_scheduled_outage_rate	g_forced_outage_rate	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_cogen	g_competes_for_space	g_variable_o_m	g_energy_source	g_full_load_heat_rate	g_unit_size
AES_Coal_180_MW_ST	AES_Coal_180_MW_ST	68.0	0.0	0.01	0	0	0	0	0	4.47	multiple	10.1069046473	180.0
Chevron_LSFO_3_MW_GT_cogen	Chevron_LSFO_3_MW_GT_cogen	70.0	0.164655600972	0.04	0	1	0	1	0	4.935	multiple	5.62347206602	3.0
HPower_MLG_60_MW_ST	HPower_MLG_60_MW_ST	71.0	0.0	0.04	0	0	0	0	0	6.1425	MSW	.	60.0
Honolulu_LSFO_48.6_MW_ST	Honolulu_LSFO_48.6_MW_ST	60.0	0.0	0.04	0	0	0	0	0	8.19	multiple	14.1906747143	48.6
Honolulu_LSFO_51.7_MW_ST	Honolulu_LSFO_51.7_MW_ST	57.0	0.0	0.04	0	0	0	0	0	8.19	multiple	14.1906747143	51.7
Kahe_LSFO_128.1_MW_ST	Kahe_LSFO_128.1_MW_ST	48.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047	128.1
Kahe_LSFO_128.7_MW_ST	Kahe_LSFO_128.7_MW_ST	41.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047	128.7
Kahe_LSFO_77.9_MW_ST	Kahe_LSFO_77.9_MW_ST	60.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047	77.9
Kahe_LSFO_78.1_MW_ST	Kahe_LSFO_78.1_MW_ST	59.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047	78.1
Kahe_LSFO_82.1_MW_ST	Kahe_LSFO_82.1_MW_ST	54.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047	82.1
Kahe_LSFO_87.2_MW_ST	Kahe_LSFO_87.2_MW_ST	52.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047	87.2
Kalaeloa_107_MW_CC_cogen	Kalaeloa_107_MW_CC_cogen	69.0	0.264210952392	0.04	0	1	0	1	0	6.1425	multiple	4.45319092422	107.0
Tesoro_LSFO_20_MW_GT_cogen	Tesoro_LSFO_20_MW_GT_cogen	78.0	0.185430947964	0.04	0	1	0	1	0	4.935	multiple	4.34567610209	20.0
Waiau_High-Sulfur-Diesel_51.2_MW_GT	Waiau_High-Sulfur-Diesel_51.2_MW_GT	87.0	0.0	0.04	0	0	0	0	0	4.935	multiple	19.0488633949	51.2
Waiau_LSFO_47.2_MW_ST	Waiau_LSFO_47.2_MW_ST	70.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363	47.2
Waiau_LSFO_47.7_MW_ST	Waiau_LSFO_47.7_MW_ST	67.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363	47.7
Waiau_LSFO_51.8_MW_ST	Waiau_LSFO_51.8_MW_ST	67.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363	51.8
Waiau_LSFO_51.9_MW_ST	Waiau_LSFO_51.9_MW_ST	69.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363	51.9
Waiau_LSFO_77.8_MW_ST	Waiau_LSFO_77.8_MW_ST	62.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363	77.8
